Id_Campo_Amplio;Campo_Amplio;Id_Campo_Especifico;Campo_Especifico;Id_Campo_Detallado;Campo_Detallado
0;Programas y certificaciones genericos;1;Programas y certificaciones básicas;11;Programas y certificaciones básicas
0;Programas y certificaciones genericos;2;Alfabetización y aritmética elemental;21;Alfabetización y aritmética elemental
0;Programas y certificaciones genericos;3;Competencias personales y desarrollo;31;Competencias personales y desarrollo
1;Educación;11;Educación;111;Ciencias de la educación
1;Educación;11;Educación;112;Formación para docentes de educación pre-primaría
1;Educación;11;Educación;113;Formación para docentes sin asignatura de especialización
1;Educación;11;Educación;114;Formación para docentes con asignatura de especialización
1;Educación;11;Educación;119;Educación no clasificada en otra parte
1;Educación;18;Programas y certificaciones interdisciplinarios relativos a educación;188;Programas y certificaciones interdisciplinarios relativos a educación
2;Artes y humanidades;21;Artes;211;Técnicas audiovisuales y producción para medios de comunicación
2;Artes y humanidades;21;Artes;212;Diseño industrial, de moda e interiores
2;Artes y humanidades;21;Artes;213;Bellas artes
2;Artes y humanidades;21;Artes;214;Artesanías
2;Artes y humanidades;21;Artes;215;Música y artes escénicas
2;Artes y humanidades;21;Artes;219;Artes no clasificadas en otra parte
2;Artes y humanidades;22;Humanidades (Excepto idiomas);221;Religión y Teología
2;Artes y humanidades;22;Humanidades (Excepto idiomas);222;Historia y arqueología
2;Artes y humanidades;22;Humanidades (Excepto idiomas);223;Filosofía y ética
2;Artes y humanidades;22;Humanidades (Excepto idiomas);229;Humanidades (excepto idiomas) no clasificados en otra parte
2;Artes y humanidades;23;Idiomas;231;Adquisición del lenguaje
2;Artes y humanidades;23;Idiomas;232;Literatura y lingüística
2;Artes y humanidades;23;Idiomas;239;Idiomas no clasificados en otra parte
2;Artes y humanidades;28;Programas y certificaciones interdisciplinarios relativos a artes y humanidades;288;Programas y certificaciones interdisciplinarios relativos a artes y humanidades
3;Ciencias sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;311;Economía
3;Ciencias sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;312;Ciencias políticas y educación cívica
3;Ciencias sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;313;Psicología
3;Ciencias sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;314;Sociología, Antropología y estudios culturales
3;Ciencias sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;315;Trabajo social
3;Ciencias sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;319;Ciencias sociales y del comportamiento no clasificadas en otra parte
