Id_Area;Area;Id_NBC;NBC
1;Agronomía, veterinaria y afines;11;Agronomía
1;Agronomía, veterinaria y afines;12;Zootecnia
1;Agronomía, veterinaria y afines;13;Medicina veterinaria
2;Bellas artes;24;Artes plásticas, visuales y afines
2;Bellas artes;25;Artes representativas
2;Bellas artes;26;Publicidad y afines
2;Bellas artes;27;Diseño
2;Bellas artes;28;Música
2;Bellas artes;270;Otros programas asociados a bellas artes
3;Ciencias de la educación;313;Educación
4;Ciencias de la salud;440;Bacteriología
4;Ciencias de la salud;441;Enfermería
4;Ciencias de la salud;442;Terapias
4;Ciencias de la salud;444;Instrumentación quirúrgica
4;Ciencias de la salud;445;Medicina
4;Ciencias de la salud;446;Nutrición y dietética
4;Ciencias de la salud;447;Odontología
4;Ciencias de la salud;448;Optometría, otros programas de ciencias de la salud
4;Ciencias de la salud;450;Salud pública
5;Ciencias sociales y humanas;553;Antropología y  artes liberales
5;Ciencias sociales y humanas;555;Bibliotecología, otros de ciencias sociales y humanas
5;Ciencias sociales y humanas;556;Ciencia política, relaciones internacionales
5;Ciencias sociales y humanas;557;Comunicación social, periodismo y afines
5;Ciencias sociales y humanas;558;Deportes, educación física y recreación
5;Ciencias sociales y humanas;559;Derecho y afines
5;Ciencias sociales y humanas;561;Formación relacionada con el campo militar o policial
5;Ciencias sociales y humanas;562;Geografía, historia
5;Ciencias sociales y humanas;564;Lenguas modernas, literatura, linguística y afines
5;Ciencias sociales y humanas;566;Psicología
5;Ciencias sociales y humanas;568;Filosofía, teología y afines
5;Ciencias sociales y humanas;569;Sociología, trabajo social y afines
6;Economía, administración, contaduría y afines;69;Administración
6;Economía, administración, contaduría y afines;611;Economía
6;Economía, administración, contaduría y afines;612;Contaduría pública
8;Ingeniería, arquitectura, urbanismo y afines;818;Arquitectura
8;Ingeniería, arquitectura, urbanismo y afines;819;Ingeniería biomédica y afines
8;Ingeniería, arquitectura, urbanismo y afines;820;Ingeniería ambiental, sanitaria y afines
8;Ingeniería, arquitectura, urbanismo y afines;821;Ingeniería administrativa y afines
8;Ingeniería, arquitectura, urbanismo y afines;822;Ingeniería agrícola, forestal y afines
8;Ingeniería, arquitectura, urbanismo y afines;823;Ingeniería agroindustrial, alimentos y afines
8;Ingeniería, arquitectura, urbanismo y afines;824;Ingeniería agronómica, pecuaria y afines
8;Ingeniería, arquitectura, urbanismo y afines;825;Ingeniería civil y afines
8;Ingeniería, arquitectura, urbanismo y afines;826;Ingeniería de minas, metalurgia y afines
8;Ingeniería, arquitectura, urbanismo y afines;827;Ingeniería de sistemas, telemática y afines
8;Ingeniería, arquitectura, urbanismo y afines;828;Ingeniería eléctrica y afines
8;Ingeniería, arquitectura, urbanismo y afines;829;Ingeniería electrónica, telecomunicaciones y afines
8;Ingeniería, arquitectura, urbanismo y afines;830;Ingeniería industrial y afines
8;Ingeniería, arquitectura, urbanismo y afines;831;Ingeniería mecánica y afines
8;Ingeniería, arquitectura, urbanismo y afines;832;Ingeniería química y afines
8;Ingeniería, arquitectura, urbanismo y afines;833;Otras ingenierías
9;Matemáticas y ciencias naturales;934;Biología, microbiología y afines
9;Matemáticas y ciencias naturales;935;Física
9;Matemáticas y ciencias naturales;936;Geología, otros programas de ciencias naturales
9;Matemáticas y ciencias naturales;937;Matemáticas, estadística y afines
9;Matemáticas y ciencias naturales;939;Química y afines
Sin clasificar;Sin clasificar;Sin clasificar;Sin clasificar
