Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;IES Acreditada;Código SNIES del programa;Programa Académico;Programa Acreditado;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Graduados
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;1;INGENIERIA AGRONOMICA;Si;1;Pregrado;6;Universitario;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;824;Ingeniería agronómica, pecuaria y afines;8;Agropecuario, Silvicultura, Pesca y Veterinaria;81;Agropecuario;811;Producción agrícola y ganadera;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;26
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;1;INGENIERIA AGRONOMICA;Si;1;Pregrado;6;Universitario;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;824;Ingeniería agronómica, pecuaria y afines;8;Agropecuario, Silvicultura, Pesca y Veterinaria;81;Agropecuario;811;Producción agrícola y ganadera;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;26
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;1;INGENIERIA AGRONOMICA;Si;1;Pregrado;6;Universitario;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;824;Ingeniería agronómica, pecuaria y afines;8;Agropecuario, Silvicultura, Pesca y Veterinaria;81;Agropecuario;811;Producción agrícola y ganadera;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;1;14
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;1;INGENIERIA AGRONOMICA;Si;1;Pregrado;6;Universitario;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;824;Ingeniería agronómica, pecuaria y afines;8;Agropecuario, Silvicultura, Pesca y Veterinaria;81;Agropecuario;811;Producción agrícola y ganadera;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;2;16
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;2;MEDICINA VETERINARIA;Si;1;Pregrado;6;Universitario;1;Presencial;1;Agronomía, veterinaria y afines;13;Medicina veterinaria;8;Agropecuario, Silvicultura, Pesca y Veterinaria;84;Veterinaria;841;Veterinaria;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;16
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;2;MEDICINA VETERINARIA;Si;1;Pregrado;6;Universitario;1;Presencial;1;Agronomía, veterinaria y afines;13;Medicina veterinaria;8;Agropecuario, Silvicultura, Pesca y Veterinaria;84;Veterinaria;841;Veterinaria;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;15
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;2;MEDICINA VETERINARIA;Si;1;Pregrado;6;Universitario;1;Presencial;1;Agronomía, veterinaria y afines;13;Medicina veterinaria;8;Agropecuario, Silvicultura, Pesca y Veterinaria;84;Veterinaria;841;Veterinaria;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;1;27
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;2;MEDICINA VETERINARIA;Si;1;Pregrado;6;Universitario;1;Presencial;1;Agronomía, veterinaria y afines;13;Medicina veterinaria;8;Agropecuario, Silvicultura, Pesca y Veterinaria;84;Veterinaria;841;Veterinaria;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Femenino;2023;2;19
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;3;ZOOTECNIA;Si;1;Pregrado;6;Universitario;1;Presencial;1;Agronomía, veterinaria y afines;12;Zootecnia;8;Agropecuario, Silvicultura, Pesca y Veterinaria;81;Agropecuario;811;Producción agrícola y ganadera;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;1;7
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;Oficial;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;Si;3;ZOOTECNIA;Si;1;Pregrado;6;Universitario;1;Presencial;1;Agronomía, veterinaria y afines;12;Zootecnia;8;Agropecuario, Silvicultura, Pesca y Veterinaria;81;Agropecuario;811;Producción agrícola y ganadera;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Masculino;2023;2;9
