Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Inscritos
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;2;MEDICINA VETERINARIA;1;Pregrado;6;Universitaria;1;Presencial;1;Agronomía, Veterinaria y Afines;13;Medicina Veterinaria;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;4
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;4;DISEÑO GRAFICO;1;Pregrado;6;Universitaria;1;Presencial;2;Bellas Artes;27;Diseño;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;2
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;5;DISEÑO INDUSTRIAL;1;Pregrado;6;Universitaria;1;Presencial;2;Bellas Artes;27;Diseño;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;5
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;6;CINE Y TELEVISION;1;Pregrado;6;Universitaria;1;Presencial;2;Bellas Artes;24;Artes Plásticas, Visuales y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;2
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;7;ENFERMERIA;1;Pregrado;6;Universitaria;1;Presencial;4;Ciencias de la Salud;441;Enfermería;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;2
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;9;MEDICINA;1;Pregrado;6;Universitaria;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;11;ODONTOLOGIA;1;Pregrado;6;Universitaria;1;Presencial;4;Ciencias de la Salud;447;Odontología;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;1
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;12;TERAPIA OCUPACIONAL;1;Pregrado;6;Universitaria;1;Presencial;4;Ciencias de la Salud;442;Terapias;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;4
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;15;TRABAJO SOCIAL;1;Pregrado;6;Universitaria;1;Presencial;5;Ciencias Sociales y Humanas;569;Sociología, Trabajo Social y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;1
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;16;SOCIOLOGIA;1;Pregrado;6;Universitaria;1;Presencial;5;Ciencias Sociales y Humanas;569;Sociología, Trabajo Social y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;2
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;17;DERECHO;1;Pregrado;6;Universitaria;1;Presencial;5;Ciencias Sociales y Humanas;559;Derecho y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;6
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;18;ECONOMÍA;1;Pregrado;6;Universitaria;1;Presencial;6;Economía, Administración, Contaduría y Afines;611;Economía;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;19;ADMINISTRACION DE EMPRESAS;1;Pregrado;6;Universitaria;1;Presencial;6;Economía, Administración, Contaduría y Afines;69;Administración;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;2
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;20;FILOSOFIA;1;Pregrado;6;Universitaria;1;Presencial;5;Ciencias Sociales y Humanas;568;Filosofía, Teología y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;21;HISTORIA;1;Pregrado;6;Universitaria;1;Presencial;5;Ciencias Sociales y Humanas;562;Geografía e Historía;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;7
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;23;FILOLOGIA E IDIOMAS;1;Pregrado;6;Universitaria;1;Presencial;5;Ciencias Sociales y Humanas;564;Lenguas Modernas, Literatura, Linguística y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;24;INGENIERIA AGRICOLA;1;Pregrado;6;Universitaria;1;Presencial;8;Ingeniería, Arquitectura, Urbanismo y Afines;822;Ingeniería Agrícola, Forestal y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;2
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;25;INGENIERIA CIVIL;1;Pregrado;6;Universitaria;1;Presencial;8;Ingeniería, Arquitectura, Urbanismo y Afines;825;Ingeniería Civil y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;5
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;26;INGENIERIA DE SISTEMAS;1;Pregrado;6;Universitaria;1;Presencial;8;Ingeniería, Arquitectura, Urbanismo y Afines;827;Ingeniería de Sistemas, Telemática y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;8
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;27;INGENIERIA ELECTRICA;1;Pregrado;6;Universitaria;1;Presencial;8;Ingeniería, Arquitectura, Urbanismo y Afines;828;Ingeniería Eléctrica y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;28;INGENIERIA MECANICA;1;Pregrado;6;Universitaria;1;Presencial;8;Ingeniería, Arquitectura, Urbanismo y Afines;831;Ingeniería Mecánica y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;9
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;29;INGENIERIA QUIMICA;1;Pregrado;6;Universitaria;1;Presencial;8;Ingeniería, Arquitectura, Urbanismo y Afines;832;Ingeniería Química y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;2
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;30;ARQUITECTURA;1;Pregrado;6;Universitaria;1;Presencial;8;Ingeniería, Arquitectura, Urbanismo y Afines;818;Arquitectura;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;32;ESTADISTICA;1;Pregrado;6;Universitaria;1;Presencial;9;Matemáticas y Ciencias Naturales;937;Matemáticas, Estadística y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;2
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;33;FISICA;1;Pregrado;6;Universitaria;1;Presencial;9;Matemáticas y Ciencias Naturales;935;Física;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;5
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;36;QUIMICA;1;Pregrado;6;Universitaria;1;Presencial;9;Matemáticas y Ciencias Naturales;939;Química y Afines;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;5
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;38;ESPECIALIDAD EN CIRUGIA GENERAL;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;94
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;39;ESPECIALIDAD EN CIRUGIA PEDIATRICA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;19
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;40;ESPECIALIDAD EN CIRUGIA PLASTICA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;85
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;41;ESPECIALIDAD EN DERMATOLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;47
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;Oficial;4;Universidad;11;Bogotá D.C;11001;Bogota;45;ESPECIALIDAD EN GASTROENTEROLOGIA;2;Posgrado;10;Especialización Médico Quirúrgica;1;Presencial;4;Ciencias de la Salud;445;Medicina;;;;;;;11;Bogotá D.C;11001;Bogota;1;HOMBRE;2016;1;7
