Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Matriculados;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;INGENIERIA AGRONOMICA;1;PREGRADO;6;Universitaria;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;824;Ingeniería agronómica, pecuaria y afines;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;1;410;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;INGENIERIA AGRONOMICA;1;PREGRADO;6;Universitaria;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;824;Ingeniería agronómica, pecuaria y afines;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;2;428;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;INGENIERIA AGRONOMICA;1;PREGRADO;6;Universitaria;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;824;Ingeniería agronómica, pecuaria y afines;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;1;196;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;INGENIERIA AGRONOMICA;1;PREGRADO;6;Universitaria;1;Presencial;8;Ingeniería, arquitectura, urbanismo y afines;824;Ingeniería agronómica, pecuaria y afines;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;2;215;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MEDICINA VETERINARIA;1;PREGRADO;6;Universitaria;1;Presencial;1;Agronomía, veterinaria y afines;13;Medicina veterinaria;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;1;268;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MEDICINA VETERINARIA;1;PREGRADO;6;Universitaria;1;Presencial;1;Agronomía, veterinaria y afines;13;Medicina veterinaria;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;2;265;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MEDICINA VETERINARIA;1;PREGRADO;6;Universitaria;1;Presencial;1;Agronomía, veterinaria y afines;13;Medicina veterinaria;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;1;306;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MEDICINA VETERINARIA;1;PREGRADO;6;Universitaria;1;Presencial;1;Agronomía, veterinaria y afines;13;Medicina veterinaria;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;2;317;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;3;ZOOTECNIA;1;PREGRADO;6;Universitaria;1;Presencial;1;Agronomía, veterinaria y afines;12;Zootecnia;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;1;198;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;3;ZOOTECNIA;1;PREGRADO;6;Universitaria;1;Presencial;1;Agronomía, veterinaria y afines;12;Zootecnia;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;2;190;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;3;ZOOTECNIA;1;PREGRADO;6;Universitaria;1;Presencial;1;Agronomía, veterinaria y afines;12;Zootecnia;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;1;147;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;3;ZOOTECNIA;1;PREGRADO;6;Universitaria;1;Presencial;1;Agronomía, veterinaria y afines;12;Zootecnia;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;2;146;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;4;DISEÑO GRAFICO;1;PREGRADO;6;Universitaria;1;Presencial;2;Bellas artes;27;Diseño;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;1;209;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;4;DISEÑO GRAFICO;1;PREGRADO;6;Universitaria;1;Presencial;2;Bellas artes;27;Diseño;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;2;213;;;;;;;;
